date,product,category,units_sold,revenue
2026-07-01,Cordless Drill 18V,Power Tools,12,1428.00
2026-07-01,Interior Paint 4L,Paint,8,392.00
2026-07-02,Garden Hose 20m,Outdoor,15,674.25
2026-07-03,Cordless Drill 18V,Power Tools,9,1071.00
2026-07-04,LED Work Light,Electrical,20,598.00
2026-07-05,Interior Paint 4L,Paint,11,539.00
2026-07-06,Wood Screws 100pk,Fasteners,40,318.00
2026-07-07,Garden Hose 20m,Outdoor,6,269.70
2026-07-08,Cordless Drill 18V,Power Tools,14,1666.00
2026-07-09,LED Work Light,Electrical,17,508.30
